,name,hometown,high_school,gender,sport,college
16,CJ Willis,"Ruston, La.",Ruston HS,N/A,baseball,lsu
17,Cade Beloso,"River Ridge, La.",John Curtis HS,N/A,baseball,lsu
18,AJ Labas,"Fleming Island, Fla.",Trinity Christian HS,N/A,baseball,lsu
19,Matthew Beck,"Alexandria, La.",Alexandria HS,N/A,baseball,lsu
20,Devin Fontenot,"The Woodlands, Texas",The Woodlands HS,N/A,baseball,lsu
21,Chase Costello,"Pompano Beach, Fla.",Pompano Beach HS,N/A,baseball,lsu
22,Trent Vietmeier,"Pittsburgh, Pa.",Montour HS,N/A,baseball,lsu
23,Aaron George,"Monroe, La.",Ouachita Christian HS,N/A,baseball,lsu
24,Clay Moffitt,"Baton Rouge, La.",Catholic HS,N/A,baseball,lsu
25,Zack Hess,"Forest, Va.",Liberty Christian Academy,N/A,baseball,lsu
26,Riggs Threadgill,"Fredericksburg, Texas",Fredericksburg HS,N/A,baseball,lsu
27,Caleb Gilbert,"Hoover, Ala.",Hoover HS,N/A,baseball,lsu
28,Todd Peterson,"Lake Mary, Fla.",Lake Mary HS,N/A,baseball,lsu
29,Jaden Hill,"Ashdown, Ark.",Ashdown HS,N/A,baseball,lsu
30,Braden Doughty,"Denham Springs, La.",Denham Springs HS,N/A,baseball,lsu
31,Rye Gunter,"Coppell, Texas",Coppell HS,N/A,baseball,lsu
32,Michael Kirsch,"Metairie, La.",Brother Martin HS,N/A,baseball,lsu
33,Ma'Khail Hilliard,"Central, La.",Central HS,N/A,baseball,lsu
34,Easton McMurray,"Bakersfield, Calif.",Liberty HS,N/A,baseball,lsu
0,Ja'Marr Chase,"Metairie, La.",Archbishop Rummel HS,N/A,football,lsu
1,Kelvin Joseph,"Baton Rouge, La.",Scotlandville Magnet HS,N/A,football,lsu
2,Justin Jefferson,"Destrehan, La.",Destrehan HS,N/A,football,lsu
3,JaCoby Stevens,"Murfreesboro, Tenn.",Oakland HS,N/A,football,lsu
4,Nick Brossette,"Baton Rouge, La.",University HS,N/A,football,lsu
5,K'Lavon Chaisson,"Houston, Texas",North Shore HS,N/A,football,lsu
6,Kary Vincent Jr.,"Port Arthur, Texas",Port Arthur Memorial HS,N/A,football,lsu
7,Terrace Marshall Jr.,"Bossier City, La.",Parkway HS,N/A,football,lsu
8,Jacob Phillips,"Nashville, Tenn.",East Nashville HS,N/A,football,lsu
9,Patrick Queen,"Livonia, La.",Livonia HS,N/A,football,lsu
10,Joe Burrow,"The Plains, Ohio",Athens HS,N/A,football,lsu
11,Grant Delpit,"Houston, Texas",IMG Academy,N/A,football,lsu
12,Stephen Sullivan,"Donaldsonville, La.",Donaldsonville HS,N/A,football,lsu
13,Terrence Alexander,"New Orleans, La.",John Curtis HS,N/A,football,lsu
14,Dee Anderson,"DeSoto, Texas",DeSoto HS,N/A,football,lsu
15,Jonathan Giles,"Missouri City, Texas",Elkins HS,N/A,football,lsu
16,Jontre Kirklin,"Lutcher, La.",Lutcher HS,N/A,football,lsu
17,Andre Sale,"Little Rock, Ark.",Catholic HS for Boys,N/A,football,lsu
18,Myles Brennan,"Long Beach, Miss.",St. Stanislaus HS,N/A,football,lsu
19,Tiger Scheyd,"Miramar Beach, Fla.",Fort Walton Beach HS,N/A,football,lsu
20,Racey McMath,"New Orleans, La.",Edna Karr HS,N/A,football,lsu
21,Foster Moreau,"New Orleans, La.",Jesuit HS,N/A,football,lsu
22,Derrick Dillon,"Franklinton, La.",Pine HS,N/A,football,lsu
23,Ed Paris,"Arlington, Texas",Mansfield Timberview HS,N/A,football,lsu
24,Clyde Edwards-Helaire,"Baton Rouge, La.",Catholic HS,N/A,football,lsu
25,Kristian Fulton,"Metairie, La.",Archbishop Rummel HS,N/A,football,lsu
26,Micah Baskerville,"Shreveport, La.",Evangel Christian Academy,N/A,football,lsu
27,Chris Curry,"Lehigh Acres, Fla.",Lehigh HS,N/A,football,lsu
28,Tyler Taylor,"Buford, Ga.",Lanier HS,N/A,football,lsu
29,Tae Provens,"Gurley, Ala.",Madison County HS,N/A,football,lsu
30,John Battle,"Hallandale, Fla.",Hallandale HS,N/A,football,lsu
31,Lanard Fournette,"New Orleans, La.",St. Augustine HS,N/A,football,lsu
32,Treven Kately,"Lafayette, La.",Lafayette Christian Academy,N/A,football,lsu
33,Mannie Netherly,"Crosby, Texas",Crosby HS,N/A,football,lsu
34,Greedy Williams,"Shreveport, La.",Calvary Baptist Academy,N/A,football,lsu
35,Eric Monroe,"Houston, Texas",North Shore HS,N/A,football,lsu
36,Michael Ostrom,"Baton Rouge, La.",St. Michael The Archangel HS,N/A,football,lsu
37,Justin Jones,"Dallas, Texas",St. Mark's School of Texas,N/A,football,lsu
38,Cameron Lewis,"Monroe, La.",Wossman HS,N/A,football,lsu
39,Avery Atkins,"Auburn, Ala.",Auburn HS,N/A,football,lsu
40,Todd Harris Jr.,"Plaquemine, La.",Plaquemine HS,N/A,football,lsu
41,Connor Culp,"Phoenix, Ariz.",Desert Vista HS,N/A,football,lsu
42,Zach Sheffer,"Ponte Vedra Beach, Fla.",Nease HS,N/A,football,lsu
43,Damone Clark,"Baton Rouge, La.",Southern Lab HS,N/A,football,lsu
44,Derian Moore,"Houma, La.",H.L. Bourgeois HS,N/A,football,lsu
45,Cole Tracy,"Camarillo, Calif.",Newbury Park HS,N/A,football,lsu
46,Keith Fulton,"Metairie, La.",Rummel HS,N/A,football,lsu
47,Josh Growden,"Sydney, Australia",Clare HS,N/A,football,lsu
48,Jack Gonsoulin,"Baton Rouge, La.",Catholic HS,N/A,football,lsu
49,Devin White,"Springhill, La.",North Webster HS,N/A,football,lsu
50,David Ducre,"Slidell, La.",Lakeshore HS,N/A,football,lsu
51,Carlton Smith,"Houston, Texas",Lamar HS,N/A,football,lsu
52,Aaron Moffitt,"Baton Rouge, La.",Catholic HS,N/A,football,lsu
53,Matt Brock,"Chattanooga, Tenn.",McCallie School,N/A,football,lsu
54,Ray Thornton,"Killeen, Texas",Shoemaker HS,N/A,football,lsu
55,Tory Carter,"Leesburg, Ga.",Lee County HS,N/A,football,lsu
56,Kody Hall,"Nacogdoches, Texas",Burnet HS,N/A,football,lsu
57,Michael Divinity Jr.,"Marrero, La.",John Ehret HS,N/A,football,lsu
58,Andre Anthony,"New Orleans, La.",Edna Karr HS,N/A,football,lsu
59,Zach Von Rosenberg,"Lake Charles, La.",Zachary HS,N/A,football,lsu
60,Trey Gallman,"Prairieville, La.",Dutchtown HS,N/A,football,lsu
61,Nelson Jenkins III,"Plaquemine, La.",Plaquemine HS,N/A,football,lsu
62,Blake Ferguson,"Buford, Ga.",Buford HS,N/A,football,lsu
63,Dantrieze Scott,"Ferriday, La.",Ferriday HS,N/A,football,lsu
64,Travez Moore,"Bastrop, La.",Bastrop HS,N/A,football,lsu
65,Dare Rosenthal,"Ferriday, La.",Ferriday HS,N/A,football,lsu
66,Davin Cotton,"Shreveport, La.",Evangel Christian Academy,N/A,football,lsu
67,Rory Luke,"New Orleans, La.",Brother Martin HS,N/A,football,lsu
68,Jarell Cherry,"Dallas, Texas",Carter HS,N/A,football,lsu
69,Chasen Hines,"Marshall, Texas",Marshall HS,N/A,football,lsu
70,Jared Small,"Baton Rouge, La.",Catholic HS,N/A,football,lsu
71,Seth Newsome,"Fredericksburg, Va.",Mountain View HS,N/A,football,lsu
72,Cameron Wire,"Gonzales, La.",East Ascension HS,N/A,football,lsu
73,Justin Mikush,"Tomball, Texas",Klein Oak HS,N/A,football,lsu
74,Jakori Savage,"Bay Minette, Ala.",Baldwin County HS,N/A,football,lsu
75,Cole Smith,"Pontotoc, Miss.",Pontotoc HS,N/A,football,lsu
76,Damien Lewis,"Canton, Miss.",Canton HS,N/A,football,lsu
77,Turner Simmers,"Prairieville, La.",St. Amant HS,N/A,football,lsu
78,Ed Ingram,"DeSoto, Texas",DeSoto HS,N/A,football,lsu
79,Donavaughn Campbell,"Ponchatoula, La.",Ponchatoula HS,N/A,football,lsu
80,Tyler Shelvin,"Lafayette, La.",Notre Dame HS,N/A,football,lsu
81,Adrian Magee,"Franklinton, La.",Franklinton HS,N/A,football,lsu
82,Badara Traore,"Hyde Park, Mass.",Matignon HS,N/A,football,lsu
83,Michael Smith,"Kileen, Texas",Ellison HS,N/A,football,lsu
84,Austin Deculus,"Cypress, Texas",Cy-Fair HS,N/A,football,lsu
85,Saahdiq Charles,"Jackson, Miss.",Madison-Ridgeland Academy,N/A,football,lsu
86,Garrett Brumfield,"Baton Rouge, La.",University HS,N/A,football,lsu
87,Lloyd Cushenberry III,"Geismar, La.",Dutchtown HS,N/A,football,lsu
88,Jamal Pettigrew,"New Orleans, La.",Saint Augustine HS,N/A,football,lsu
89,Thaddeus Moss,"Charleston, W.Va.",Mallard Creek HS,N/A,football,lsu
90,Kenan Jones,"Berwick, La.",Berwick HS,N/A,football,lsu
91,Jaray Jenkins,"Jena, La.",Jena HS,N/A,football,lsu
92,Wesley McKoy,"Englewood Cliffs, N.J.",Don Bosco Preparatory HS,N/A,football,lsu
93,Jacory Washington,"Westlake, La.",Westlake HS,N/A,football,lsu
94,Colby Brunet,"Metairie, La.",Archbishop Rummel HS,N/A,football,lsu
95,Rashard Lawrence,"Monroe, La.",Neville HS,N/A,football,lsu
96,Breiden Fehoko,"Honolulu, Hawaii",Farrington HS,N/A,football,lsu
97,Neil Farrell Jr.,"Mobile, Ala.",Murphy HS,N/A,football,lsu
98,Justin Thomas,"Spanish Fort, Ala.",Spanish Fort HS,N/A,football,lsu
99,Glen Logan,"Destrehan, La.",Destrehan HS,N/A,football,lsu
100,Dominic Livingston,"Houston, Texas",Davis HS,N/A,football,lsu
101,Ed Alexander,"Hammond, La.",St. Thomas Aquinas HS,N/A,football,lsu
0,Lily Alfeld,"Christchurch, New Zealand",Lincoln HS,N/A,womens soccer,lsu
1,Jordane Carvery,"Richmond Hill, Ontario, Canada",Bill Crothers Secondary School,N/A,womens soccer,lsu
2,Zoe Higgins,"Boring, Ore.",Sandy Union HS,N/A,womens soccer,lsu
3,Chiara Ritchie-Williams,"London, England",Alexandra Park School,N/A,womens soccer,lsu
4,Lucy Parker,"Cambridge, England",Coleridge CC,N/A,womens soccer,lsu
5,Chrissy Pitre,"Austin, Texas",Cedar Ridge HS,N/A,womens soccer,lsu
6,Caitie Cantrill,"Canberra, Australia",Radford College,N/A,womens soccer,lsu
7,Alex Vandegrift,"Port St. Lucie, Fla.",Mosaic Digital Academy,N/A,womens soccer,lsu
8,Alex Thomas,"New Orleans, La.",Ben Franklin HS,N/A,womens soccer,lsu
9,Nicole Howard,"Rolla, Mo.",Rolla HS,N/A,womens soccer,lsu
10,Tinaya Alexander,"Reading, Berkshire, England",Faringdon Catholic School,N/A,womens soccer,lsu
11,Mackenzie Manuel,"Mandeville, La.",Mandeville HS,N/A,womens soccer,lsu
12,Dana Reed,"Highland, Md.",Our Lady of Good Counsel,N/A,womens soccer,lsu
13,Caroline Brockmeier,"Tallahassee, Fla.",Chiles HS,N/A,womens soccer,lsu
14,Lindsey Eaton,"Lithia, Fla.",Newsome HS,N/A,womens soccer,lsu
15,Chelsea Stiebing,"Mandeville, La.",Fontainebleau HS,N/A,womens soccer,lsu
16,Tiana Caffey,"Port St. Lucie, Fla.",Jensen Beach HS,N/A,womens soccer,lsu
17,Mia Dubroc,"Mandeville, La.",Mandeville HS,N/A,womens soccer,lsu
18,Alexis Larimore,"Denham Springs, La.",Denham Springs HS,N/A,womens soccer,lsu
19,Marlena Cutura,"Pearl River, La.",Pope John Paul II Catholic HS,N/A,womens soccer,lsu
20,Courtney Henderson,"Rogers, Minn.",Rogers HS,N/A,womens soccer,lsu
21,Sara Funderburk,"Bossier City, La.",Parkway HS,N/A,womens soccer,lsu
22,Ellie Weber,"Springfield, Va.",Lake Braddock Secondary School,N/A,womens soccer,lsu
23,Jade Clarke,"Richmond, British Columbia, Canada",RC Palmer Secondary School,N/A,womens soccer,lsu
24,Emma Grace Goldman,"Murfreesboro, Tenn.",Oakland HS,N/A,womens soccer,lsu
25,Sarah Beadle,"Lafayette, La.",Ascension Episcopal School,N/A,womens soccer,lsu
26,Raven Guerrero,"San Antonio, Texas",Alamo Heights HS,N/A,womens soccer,lsu
27,Hannah Cuneo,"Houma, La.",Vandebilt Catholic HS,N/A,womens soccer,lsu
28,Caroline Weiss,"Naperville, Ill.",Naperville North HS,N/A,womens soccer,lsu
29,Haley Garrett,"Raleigh, N.C.",Cardinal Gibbons HS,N/A,womens soccer,lsu
30,Debbie Hahn,"Tampa, Fla.",Fivay HS,N/A,womens soccer,lsu
31,Miranda Scotten,"Bossier City, La.",Parkway HS,N/A,womens soccer,lsu
0,Philip Barbaree,"Shreveport, La.",C.E. Byrd HS,N/A,mens golf,lsu
1,Garrett Barber,"Stuart, Fla.",The Pine School,N/A,mens golf,lsu
2,Luis Gagne,"Orlando, Fla.",Orlando Christian Prep,N/A,mens golf,lsu
3,Drew Gonzales,"Lafayette, La.",St. Thomas More HS,N/A,mens golf,lsu
4,Nathan Jeansonne,"Keithville, La.",Calvary Baptist Academy,N/A,mens golf,lsu
5,Michael Sanders,"Davidson, N.C.",Cannon School,N/A,mens golf,lsu
6,Carter Toms,"Shreveport, La.",C.E. Byrd HS,N/A,mens golf,lsu
7,Hayden White,"Benton, La.",Benton HS,N/A,mens golf,lsu
8,Trey Winstead,"Baton Rouge, La.",University HS,N/A,mens golf,lsu
9,Chris Woollam,"Hilton, KZN, South Africa",Hilton College,N/A,mens golf,lsu
0,Presley Baggett,"Canton, Miss.",Germantown HS,N/A,womens golf,lsu
1,Mary Frances Chauvin,"Hammond, La.",Hammond Magnet HS,N/A,womens golf,lsu
2,Monica Dibildox,"Saltillo, Coahuila, Mexico",Instituto De Ensenanza Abierta,N/A,womens golf,lsu
3,Kathleen Gallagher,"Greenwood, Miss.",Pillow Academy,N/A,womens golf,lsu
4,Kendall Griffin,"Sebring, Fla.",Home School),N/A,womens golf,lsu
5,Marina Hedlund,"Leksand, Sweden",Filborn Skolan,N/A,womens golf,lsu
6,Page Morehead,"Spartanburg, S.C.",Spartanburg HS,N/A,womens golf,lsu
7,Rivani Sihotang,"Depok, Indonesia",Open Senior HS 4 of Depok,N/A,womens golf,lsu
8,Alden Wallace,"Shreveport, La.",Loyola Prep,N/A,womens golf,lsu
0,Malik Bhatnagar,"Ottawa, Canada",Robert Bateman HS,N/A,mens tennis,lsu
1,Stewart Block,"Bradenton, Fla.",Laurel Springs HS,N/A,mens tennis,lsu
2,Boris Kozlov,"Pembroke Pines, Fla.",Florida Virtual School,N/A,mens tennis,lsu
3,Shane Monroe,"Ventnor City, N.J.",Laurel Springs HS,N/A,mens tennis,lsu
4,Agie Moreno,"Wesley Chapel, Fla.",Laurel Springs HS,N/A,mens tennis,lsu
5,Nikola Samardzic,"New York City, N.Y.",Edison Academics,N/A,mens tennis,lsu
6,Joey Thomas,"Canton, Ohio",Jackson HS,N/A,mens tennis,lsu
7,Rafael Wagner,"Basilia, Brazil",Anglo-Americano Unbarra,N/A,mens tennis,lsu
8,Nick Watson,"Baton Rouge, La.",Catholic HS,N/A,mens tennis,lsu
0,Taylor Bridges,"Mesa, Ariz.",Arizona Connections Academy,N/A,womens tennis,lsu
1,Paris Corley,"Grants, N.M.",Grants HS,N/A,womens tennis,lsu
2,Jessica Golovin,"New York, N.Y.",John McEnroe Tennis Academy,N/A,womens tennis,lsu
3,Marina Hermanny de Figueiredo,"New York, N.Y.",John McEnroe Tennis Academy,N/A,womens tennis,lsu
4,Kennan Johnson,"Baton Rouge, La.",Ascension Christian HS,N/A,womens tennis,lsu
5,Anna Loughlan,"Cambridge, England",Loughborough College,N/A,womens tennis,lsu
6,Ashton Rabalais,"Metairie, La.",Academy of the Sacred Heart,N/A,womens tennis,lsu
7,Eden Richardson,"Bath, England",Ralph Allen School,N/A,womens tennis,lsu
8,Luba Vasilyuk,"Dallas, Texas",Laurel Springs HS,N/A,womens tennis,lsu
0,Akiya Thymes,"Brusly, La.",Brusly HS,N/A,softball,lsu
1,Michaela Schlattman,"Plainfield, Ill.",Plainfield HS,N/A,softball,lsu
2,Ali Kilponen,"Highlands Ranch, Colo.",Valor Christian HS,N/A,softball,lsu
3,Taylor Tidwell,"Gonzales, La.",St. Amant HS,N/A,softball,lsu
4,Aliyah Andrews,"Oldsmar, Fla.",East Lake HS,N/A,softball,lsu
5,Kara Goff,"Ruston, La.",Northridge HS,N/A,softball,lsu
6,Maribeth Gorsuch,"Lewisville, Texas",Lewisville HS,N/A,softball,lsu
7,Becca Schulte,"Andover, Kansas",Andover HS,N/A,softball,lsu
8,Savannah Stewart,"Marietta, Ga.",Hillgrove HS,N/A,softball,lsu
9,Elyse Thornhill,"Baton Rouge, La.",St. Joseph's Academy,N/A,softball,lsu
10,Sydney Bourg,"Slidell, La.",Northshore HS,N/A,softball,lsu
11,Shelby Wickersham,"Metairie, La.",Mount Carmel Academy,N/A,softball,lsu
12,Taryn Antoine,"Alexandria, La.",Alexandria HS,N/A,softball,lsu
13,Amber Serrett,"Spring, Texas",Oak Ridge HS,N/A,softball,lsu
14,Jordyn Perkins,"Metairie, La.",Mount Carmel Academy,N/A,softball,lsu
15,Amanda Sanchez,"West Covina, Calif.",Bishop Amat HS,N/A,softball,lsu
16,Amanda Doyle,"Santa Clarita, Calif.",Canyon HS,N/A,softball,lsu
17,Shemiah Sanchez,"Newnan, Ga.",East Coweta HS,N/A,softball,lsu
18,Claire Weinberger,"Prairieville, La.",East Ascension HS,N/A,softball,lsu
19,Georgia Clark,"Houston, Texas",Stratford HS,N/A,softball,lsu
20,Morgan Cummins,"Sarasota, Fla.",Lakewood Ranch HS,N/A,softball,lsu
21,Shelbi Sunseri,"Santa Fe, Texas",Santa Fe HS,N/A,softball,lsu
22,Karrington Houshmandzadeh,"Cerritos, Calif.",Los Alamitas HS,N/A,softball,lsu
0,Khourtni Fears,"Houston, Texas",Bellaire HS,N/A,womens volleyball,lsu
1,Anna Zwiebel,"Louisville, Ky.",Sacred Heart Academy,N/A,womens volleyball,lsu
2,Nicole Decker,"Coral Springs, Fla.",Calvary Christian Academy,N/A,womens volleyball,lsu
3,Raigen Cianciulli,"Spring, Texas",Oak Ridge HS,N/A,womens volleyball,lsu
4,Taylor Bannister,"Missouri City, Texas",Fort Bend Christian Academy,N/A,womens volleyball,lsu
5,Olivia Beyer,"Canton, Mich.",Plymouth HS,N/A,womens volleyball,lsu
6,Katie Kampen,"Metairie, La.",Mount Carmel Academy,N/A,womens volleyball,lsu
7,Gina Tillis,"Rockwall, Texas",Rockwall Heath HS,N/A,womens volleyball,lsu
8,Jacqui Armer,"Bradenton, Fla.",Manatee HS,N/A,womens volleyball,lsu
9,Jariel Tureaud,"Gramercy, La.",Lutcher HS,N/A,womens volleyball,lsu
10,Lindsay Flory,"Baton Rouge, La.",University HS,N/A,womens volleyball,lsu
11,Milan Stokes,"Long Beach, Calif.",Wilson HS,N/A,womens volleyball,lsu
12,Sydney Mukes,"Morrow, Ohio",Mount Notre Dame HS,N/A,womens volleyball,lsu
13,Kelly Quinn,"The Woodlands, Texas",The Woodlands HS,N/A,womens volleyball,lsu
14,Cheyenne Wood,"Angier, N.C.",Cardinal Gibbons HS,N/A,womens volleyball,lsu
15,Toni Rodriguez,"St. Amant, La.",St. Amant HS,N/A,womens volleyball,lsu
0,Reagan Campbell,"Coppell, Texas",Texas Dreams,N/A,womens gymnastics,lsu
1,Julianna Cannamela,"Waxhaw, N.C.",Southeastern,N/A,womens gymnastics,lsu
2,Rebecca D'Antonio,"New Orleans, La.",Cypress Pointe Gymnastics,N/A,womens gymnastics,lsu
3,Bridget Dean,"Fort Myers, Fla.",Orlando Metro Gymnastics,N/A,womens gymnastics,lsu
4,Christina Desiderio,"Hackettstown, N.J.",Parkettes Gymnastics Center,N/A,womens gymnastics,lsu
5,Sami Durante,"Athens, Ga.",Georgia Elite,N/A,womens gymnastics,lsu
6,Kennedi Edney,"Chino, Calif.",Precision,N/A,womens gymnastics,lsu
7,Sarah Edwards,"Ocean Springs, Miss.",Lanier's Gymnastics,N/A,womens gymnastics,lsu
8,Sarah Finnegan,"Lee's Summit, Mo.",GAGE,N/A,womens gymnastics,lsu
9,Olivia Gunter,"Mandeville, La.",North Shore Gymnastics,N/A,womens gymnastics,lsu
10,Ruby Harrold,"Bristol, England",The Academy,N/A,womens gymnastics,lsu
11,McKenna Kelley,"Houston, Texas",Stars Gymnastics,N/A,womens gymnastics,lsu
12,Ashlyn Kirby,"Claremont, N.C.",Shooting Stars,N/A,womens gymnastics,lsu
13,Lexie Priessman,"Cincinnati, Ohio",Cincinnati Gymnastics Academy/Perfection,N/A,womens gymnastics,lsu
0,Jace Attuso,"Baton Rouge, La.",Catholic HS,Men,mixed track,lsu
1,Blake Baldassaro,"Belle Chase, La.",Holy Cross HS,Men,mixed track,lsu
2,Da'Quan Bellard,"Opelousas, La.",Opelousas HS,Men,mixed track,lsu
3,Christian Boyd,"Keatchie, La.",North Desoto HS/Hinds CC,Men,mixed track,lsu
4,Chadd Burns,"Baton Rouge, La.",Catholic HS,Men,mixed track,lsu
5,Eric Coston,"Covington, La.",St. Paul's School,Men,mixed track,lsu
6,Hayden Courrege',"Metairie, La.",Brother Martin HS,Men,mixed track,lsu
7,Mondo Duplantis,"Lafayette, La.",Lafayette HS,Men,mixed track,lsu
8,Jaron Flournoy,"Detroit, Mich.",Westland John Glenn HS,Men,mixed track,lsu
9,Andre Girouard,"Abbeville, La.",Vermillion Catholic HS,Men,mixed track,lsu
10,Rayvon Grey,"Beacon, N.Y.",Beacon HS,Men,mixed track,lsu
11,JuVaughn Harrison,"Huntsville, Ala.",Columbia HS,Men,mixed track,lsu
12,Luke Hebert,"Baton Rouge, La.",St. Michael The Archangel HS,Men,mixed track,lsu
13,Akanni Hislop,"Sou Sou Lands, Tobago",Bishop's HS,Men,mixed track,lsu
14,DC Lipani,"Mandeville, La.",St. Paul's School,Men,mixed track,lsu
15,Harrison Martingayle,"Virginia Beach, Va.",Princess Anne HS,Men,mixed track,lsu
16,Christian Miller,"Monroe, La.",Northside HS,Men,mixed track,lsu
17,Correion Mosby,"Natchitoches, La.",Natchitoches Central HS/Hinds CC,Men,mixed track,lsu
18,Xavier Mulugata,"Barataria, Trinidad &amp; Tobago",Fatima College,Men,mixed track,lsu
19,Jake Norris,"Windsor, Berkshire, England",Desborough College,Men,mixed track,lsu
20,Arthur Price,"Baton Rouge, La.",Catholic HS,Men,mixed track,lsu
21,Damion Thomas,"Sunrise, Fla.",Northeast HS,Men,mixed track,lsu
22,Jahnoy Thompson,"White Hill District, Jamaica",Manchester HS/SUNO,Men,mixed track,lsu
23,Jacob Thornton,"Baton Rouge, La.",Catholic HS,Men,mixed track,lsu
24,Kary Vincent Jr.,"Port Arthur, Texas",Port Arthur Memorial HS,Men,mixed track,lsu
25,Ariyonna Augustine,"Paramount, Calif.",Long Beach Poly HS,Women,mixed track,lsu
26,Noel Baker,"Franklin, La.",Hanson Memorial HS,Women,mixed track,lsu
27,Hannah Bourque,"Youngsville, La.",St. Thomas More HS,Women,mixed track,lsu
28,Heather Cizek,"Downers Grove, Ill.",James B. Conant HS,Women,mixed track,lsu
29,Kristin Delgado,"The Woodlands, Texas",The Woodlands HS,Women,mixed track,lsu
30,Zakiya Denoon,"Belle Garden, Tobago",Speyside HS/Monroe College,Women,mixed track,lsu
31,Amber Desselle,"Baton Rouge, La.",Parkview Baptist HS,Women,mixed track,lsu
32,Ersula Farrow,"Detroit, Mich.",Oak Park HS,Women,mixed track,lsu
33,Cassondra Hall,"Eastman, Ga.",Warner Robins HS,Women,mixed track,lsu
34,Keterra Harris,"Marrero, La.",St. Mary's Academy,Women,mixed track,lsu
35,Brittley Humphrey,"Hoover, Ala.",Hoover HS,Women,mixed track,lsu
36,Kortnei Johnson,"Italy, Texas",Italy HS,Women,mixed track,lsu
37,Annie Jung,"Brusly, La.",St. Scholastica Academy,Women,mixed track,lsu
38,Erika Lewis,"West Des Moines, Iowa",Waukee HS,Women,mixed track,lsu
39,Tonea Marshall,"Arlington, Texas",Juan Seguin HS,Women,mixed track,lsu
